feature,outliers,percentage
dload,38143,21.753611534096418
ct_dst_sport_ltm,37337,21.293935816494717
ct_src_dport_ltm,33423,19.061714031515734
synack,31462,17.943321869956257
dloss,28388,16.190166589673836
dbytes,28131,16.043595051927387
spkts,24675,14.072578575461527
dmean,23359,13.322041051436914
sbytes,22873,13.044866859433904
ct_dst_ltm,22152,12.633668109569355
dpkts,20830,11.879708681939762
smean,20725,11.819825368852694
djit,20574,11.73370746146081
ct_srv_src,19390,11.058451816745656
ct_srv_dst,19341,11.030506270638355
sjit,18033,10.28453128475371
ct_flw_http_mthd,17840,10.174460052126998
trans_depth,17840,10.174460052126998
ct_dst_src_ltm,17752,10.12427213258736
rate,17340,9.889301418379045
tcprtt,15878,9.055497573300027
dur,15741,8.977364107653088
sinpkt,14788,8.433851751729488
dinpkt,14096,8.039192202622319
sload,13518,7.709548822009683
ct_src_ltm,13140,7.493968894896231
sloss,11467,6.539828106375577
response_body_len,11294,6.441163219098785
ackdat,8290,4.727930147541077
is_sm_ips_ports,2762,1.5752162928236977
is_ftp_login,2567,1.4640044256619957
ct_ftp_cmd,2567,1.4640044256619957
ct_state_ttl,1930,1.1007123262671024
dtcpb,0,0.0
stcpb,0,0.0
swin,0,0.0
dttl,0,0.0
sttl,0,0.0
dwin,0,0.0
