split,Attack,flow_count,attack_count
test,Analysis,294,294
test,Backdoor,1260,1260
test,Benign,323708,0
test,DoS,1234,1234
test,Exploits,10815,10815
test,Fuzzers,7387,7387
test,Generic,5126,5126
test,Reconnaissance,4548,4548
test,Shellcode,406,406
test,Worms,37,37
train,Analysis,646,646
train,Backdoor,3253,3253
train,Benign,1590607,0
train,DoS,3238,3238
train,Exploits,21416,21416
train,Fuzzers,17599,17599
train,Generic,9243,9243
train,Reconnaissance,8304,8304
train,Shellcode,1407,1407
train,Worms,83,83
validation,Analysis,286,286
validation,Backdoor,146,146
validation,Benign,323416,0
validation,DoS,1508,1508
validation,Exploits,10517,10517
validation,Fuzzers,8830,8830
validation,Generic,5282,5282
validation,Reconnaissance,4222,4222
validation,Shellcode,568,568
validation,Worms,38,38
